nameOfCamp,amountReached,goalOfCamp,category,dateCreated,peopleDonated,numberOfDays,locationCity,locationState,socialMediaShares,NumberOfFbComments,NumberOfUpdates,storyText
Help Us Save our Youth Dream Center,"$27,317","$50,000",Charity," August 30, 2016",644,26,CHICAGO,IL,3900,11,,"
                            Beyonca Johnson
                            
                            
                                                           
CHICAGO, IL                                
                        My contact number is 312-509-1822We have saved alot of youth throughout Chicago by creating a haven that we all call The Dream Center. We currently have no funding, and our funds have all been depleted. We have spent over 250k of our very own personal money to build renovate and operate this facility for out youth.  We have been taken to court today and have received 15 days before the eviction process is started.  Were raising money to keep our doors open so that we can continue to save life and help our youth achieve their dreams. The secret to help this generation is love, concern, resources and a haven.Our center is modern and cool, filled with new technologies that is catered to the millennial teen and were serving youth with more than just a snack and something constructive to do. Were giving them a chance to make profound changes in their lives despite major obstacles: peer pressures, gang involvement, poverty, addiction, dysfunctional families and more www.hollywoodreamers.com In 2015 HollywooDreamers has fulfilled its vision of leasing and renovating a facility in the Bronzeville community located in Chicago, IL. This facility has become the permanent home for the foundation. Its location serves an area critically needing our services because of a lack of after-school programs in the area. The neighborhood has been revitalized and redeveloped, and we are committed to continuing this by doing our part through our community and after-school/summer programs. HWDF emphasizes security and harmony in the neighborhood by building communication between residents and our foundation. This project relates to our mission by upgrading to a facility reflective of the recent neighborhood changes and providing a safe, modern environment for our youth, staff and volunteers, and continuing as a focal point for community activities. Those who will benefit most are the high at-risk youth that other agencies turn away and the residents who are supported by our community improvement programs. The project renovation totaled in the amount of $125,000. Developing a modern state of the art facility which includes a full computer lab of over 20 Computer systems which is loaded with instructional based programs including interactive Life Skills, Spanish, typing, ACT/SAT, GED and many other academic software. It offers a Juice bar for healthy snacks and smoothies, Caf for relaxation, 8 televisions, Gaming systems, Board games, classroom and even a basketball rim. HollywooDreamers Foundation (HWDF) is focused on the most underprivileged youth residing in Chicagos most violent neighborhoods, surviving on limited resources and constantly seeking out a purpose for their life. HWDF currently works with youth who never have been nurtured and reared in a way to develop into a productive generation. Our mission is to inspire Dreamers to Achieve the unthinkable. We strive to provide youth with moral values, strong character, and mental clarity; exposing them to an environment with various resources that will help master independent life skills and maximize their full potential. Our vision is to equip Dreamers through customized programs that will enable them to reach their full potential as productive citizens.Our Foundation Goals- Create safe after-school and summer environments for at-risk youth- Provide structured activities fostering a positive group experience-Educate at-risk youth in life skills training, including education and job seeking skills to prepare them for adulthood- Provide tutoring to improve academic performance and school attendance-Avoid negative police contact by youth and no involvement in correction system-Provide mentoring for adult guidance and support-Teach entrepreneurship in order to inspire and produce small business ownersIn 2010, I was inspired by my experiences as sports performance trainer to professional athletes and in various organizations to create programs that would later become the foundation of HWDF. As a sports performance trainer, youth services activist and community leader, I was afforded the opportunity in 2009, through a community organization, to develop, implement and oversee a summer program where my previous ideas could be put to use. Through the enlisting of my close childhood friend, Ms. Beyonca Johnson, who would be asked to serve as a founder of HWDF, these ideas would later transform into the base and foundation of the HollywooDreamers Foundation/The Bronzeville Dream Center.We stand by our unique programmatic structure, which includes progressive merging in the skills of social, educational, sports and strengths-based components as a catalyst for healthy youth development and family involvement. With much dedication and perseverance, the vision of HWDF has grown to become an intricate part of the lives of our students, parents, staff members and various community partners.We intend to instill a confidence in the minds of youth that transcends their gift and art form into vehicles that promote forward thinking, movement and balance in their overall lives. We accuse our youth of being at their best and to continue a spirit of learning while performing at a level of excellence. We are a voice for social and system focus to keep the health & wellness and creative arts as a major component in the developmental and educational curriculums in both private and public schools.There are many obstacles that any founder has to meet when launching a new project, and the vision cannot move forward without support from a host of individuals, evidenced through teamwork. We are thankful for that.For almost seven years, HWDF has exposed youth to sports performance, creative arts, leadership, education and family empowerment.OUR HISTORYThe HollywooDreamers Foundation (HWDF) is a private, non-profit youth agency established in 2010 by its Founder and Executive Director Holly Medley. Our vision is to Equip Dreamers through customized programs that will enable them to reach their full potential. HWDF targets inner city at-risk youth ages 13-24 coming mostly from single parentage, low-income, and often volatile environments. These young people are often turned away by other inner city youth serving agencies.During the early years, under Hollys direction, neighborhood youth were persuaded to become responsible and accountable by teaching these and other values through team sports such as basketball. As a condition of playing, youth were required to remain in school and achieve passing grades. Volunteers assisted these efforts by mentoring youth, acting as role models and becoming their extended family at times. Basketball became a physical outlet for these youth, and our first after-school program that became the cornerstone for what we are today. Several hundred youth gained self-confidence, self-respect and developed into responsible adults by applying themselves with their learned values and positive choices from this experience.HollywooDreamers Foundation addresses the community crises of family disintegration, academic failure, violence, unemployment, and gang involvement. The foundation has served over 1,000 youth last year across the city of Chicago. All HollywooDreamers services are grounded in a Positive Youth Development Model, enabling youth to become more confident in their abilities, more resilient to adversity, and better prepared for the transition to adulthood.Our work is committed to addressing the growing need to promote the physical, mental, spiritual, and academic well-being of African American and Latino males within the community; many of whom face disproportionate risks and challenges. Our philosophy is Dream, Believe, Work, and Achieve. The HWDF works collaboratively with students and the community to build confidence in the intelligence, athletic abilities, and personal development of young men in the attainment of their dreams. In 2015 we opened the doors of a newly constructed facility that is now known as the ""Bronzeville Dream Center"" which is a place of retreat for under privileged youth in the city of Chicago. With the rise of violent crime in the city, the Dream Center serves as an alternative for those who are at risk of being incarcerated or becoming homeless.At HWDF, we consider ourselves a strong and resilient community network that will not stand by and watch our kids fall prey to a vicious cycle. Were in the business of disrupting that cycle and helping our young people create the foundation for a bright and rewarding future. Thats our calling as an organization. Thats the reason we do what we doWe have become a leader in serving at-risk youth through our ability to connect with these youths when others could not, which is our passion and strength.WHO WE SERVE:80% African American20% Latino90% Males10% FemalesOUR PROGRAMSHEALTH & FITNESS / ENRICHMENT/ ACADEMICSAt the HollywooDreamers Foundation, our programs are targeted to reach young people considered most vulnerable and at-risk. We provide deep, wrap-around interventions which not only seek to build educational and occupational skills, but also offer emotional support, help participants clear persistent social barriers and provide for basic needs. HWDFs permanent programs include:CURRENT PROGRAMS Education - This program emphasizes improving academics and academic enrichment. Mentoring- one to one guidance, role modeling, and oversight by an adult staff person; one of our longest running programs  Academic achievement- tutoring, literacy and academic assistance  Course Curriculum - computer training, life skills, cultural awareness, home economics, financial literacy, social and relationship classes  Community Involvement- service, projects, and cultural awareness Anti- Obesity & Healthy Living- Fitness, Nutrition, Sports performance, Leadership, Male Empowerment, Outdoor education and Service LearningPREVENTATIVE PROGRAMSThese programs provide structured positive activities as alternatives to crime, delinquency, substance abuse and teen pregnancy. Entrepreneurship - employment training, job-seeking skills, vocational opportunities, career options, small business opportunities. Recreation - indoor/outdoor games, team sports including a nationally recognized basketball program. Music/Performing Arts- music, dance, vocals, instrument lessons, art. Gang Prevention- anger management, ethics, jobs, social skills, music.BASKETBALL BASED-YOUTH MENTORING CAMPv One-on-One Mentoringv Nightly Basketball Skills & Drillsv Structured Leadership Activitiesv Sports Career Guest Speakersv Group Service ProjectsCOLLEGE READINESSv College & Career Explorationv Family Engagementv Academic Supportv College Planningv College ToursCOLLEGE IMMERSION CAMPv Mock college applications & Interviewsv Financial Aid Educationv Entrepreneurial Shark tank style business competitionv Career planning & resume writingv College School OptionsFINANCIAL LITERACY & ENTREPRANIERIALISM PROGRAMv Financial literacy v Resume buildingv Resume Buildingv Work place etiquette v Potential career explorationv Business School case studiesv Entrepreneurship Activitiesv Career exploration Interviews & Field tripsv STEM ActivitiesLEADERSHIP TRAINING & CAREER EXPLORATIONv Financial Literacyv Entrepreneurshipv Work Place & Professionalismv Mentorship & Field TripsACCOMPLISHMENTS Development of our new youth programs which includes Dream Works, Ballers with Businesses, Youth Perspective Provided 4 Scholarships for College assistance to four of our participants Construction & Opening of the Bronzeville Dream Center FacilityOutcome*91% of participants said they bonded with a new mentor or role model*97% of participant anticipate that they will graduate from High School*99% of participants are on track to graduate High School*78% of students say that they volunteer now because of HollywooDreamers*90% of students report that they are more confident they can make a difference in their community because of HWDF* 82% of youth said they are more confident in reading and writing as a result of program participation* 89% of students say that HWDF helped them feel more confident in their ability to do well in school*98% of HWDF participants report that they try harder in their math classes and 100% feel more confident in reading and writing*Among HWDF participants 83% improved in their homework completion and 88% improved in school behavior*88% of participants demonstrated basketball capacity gains over 2014-2015 school year*78% of students say that they like to be more active because of HWDFWAYS OF GIVING HollywooDreamers Foundation accepts monies and gifts-in-kind to further its mission to inner city at-risk youth. Your support is essential so we can continue to provide the high quality of services our youth need during these challenging times. UNRESTRICTED GIFTS These are gifts that are given with no particular purpose and are especially encouraged. This gives the flexibility to take advantage of special opportunities and to meet emergency needs. DESIGNATED GIFTSDonors may designate a specific program for use. These can be used for scholarships or specific program needs. We can help you meet your specific goal. OTHER GIFTS AND PLEDGES Cash Cash is the simplest, easiest, and most popular way of giving. Please make checks payable to: HollywooDreamers Foundation1013 E. 43rd Street Chicago, IL 6053PledgesDonors may make pledge commitments payable over several years. Real Estate and Other Personal Property Gifts of real estate, equipment, art, jewelry and other personal property may be made. Such gifts will be determined at fair market value by a qualified, independent third-party appraiser, subject to IRS rules and regulations. PLANNED GIFTSPlanned or deferred gifts allow donors to make a significant gift that will benefit our agency in the future, typically at the donors or beneficiarys death. We welcome the opportunity to work with donors and their legal and financial advisers to establish planned gifts. BequestsBequest provisions in a donors will are always welcomed by our foundation. For more information on these options or other gift plans, please call the Associate Director Administration for more information aYou may also visit our web site at:  www.hollywoodreamers.com
+ Read More
"
Restore the Rights of Women/Girls,"$14,940","$75,000",Charity," July 25, 2016",215,2,ALBUQUERQUE,NM,3100,,8,"
                            MaryLou Singleton
                            
                            
                                                           
ALBUQUERQUE, NM                                
Womens Liberation Front vs. The United StatesThe swift and enthusiastic push for transgender rights in America is having dire consequences that severely threaten the privacy, dignity, safety, and equality of women and girls. The United States Department of Justice (DOJ) and Department of Education (DOE) have abruptly enacted a new policy, defining the category of sex in Title IX to include gender identity. This effectively renders Title IX meaningless, as females can no longer be recognized as distinct from males. Indeed, Title IX, the legislation used to champion the very creation of female sports, is now being used to dismantle them, as male athletes demand access to female teams, dominating the competition. The reinterpretation of sex to include gender identity also means that girls bathrooms and locker rooms must be opened up to any male who identifies as female. Girls rights to personal privacy and freedom from male sexual harassment, forced exposure to male nudity, and voyeurism have been eliminated with the stroke of a pen. Schools that do not comply with the demands of any male student to access protected female spaces will now lose federal funding.Womens Liberation Front (WoLF) has decided this cannot stand. The President of the United States, the most powerful man in the world, has told teenage girls that they are now required to get over their discomfort at boys in their locker room. We need your help to fund our legal battle against the U.S. government. We have filed a lawsuit and we need $75,000 to see this battle into court.You can read our legal complaint in full here: http://womensliberationfront.org/wp-content/uploads/2016/08/WoLF-v.-United-States-Department-of-Justice-complaint-as-filed.pdfMake your voice heard! Defend the rights of women and girls!www. womensliberationfront.orgWoLF is a 501c3 organization. Tax deductible contributions can be sent to:Women's Liberation Front4916 4th St NWAlbuquerque, NM 87107
                    
+ Read More
Read Latest Update
"
Help us Pay for our Shelter,"$4,440","$330,000",Charity," November 12, 2014",135,22,BLOUNTVILLE,TN,1900,1,11,"
                            Shepherd Sarge
                                                            for BRIDGE HOME NO KILL ANIMAL RESCUE
BLOUNTVILLE, TN                                
                        Dear friends,The Bridge Home No Kill Animal Shelter was completed in 2015. It is our mission tospeak for those who have no voice.We are looking for help to pay down our mortgage. That would go a long way towards reducing our debt. Thank you so very much! Blessings, BHNKAS
+ Read More
Read Latest Update
"
Help us help people with Depression,"$54,462","$150,000",Charity," June 21, 2015",586,15,SAN FRANCISCO,CA,3100,,17,"
                            Brian Copeland
                                                            for THE MARSH A BREEDING GROUND FOR NEW PERFORMANCE
SAN FRANCISCO, CA                                
                        The Marsh in San Francisco and Brian Copeland are trying to raise $150,000 so that they can present Brian's show ""The Waiting Period"" weekly for one year free of charge to the public.The reason is that the show has literally saved lives by getting people to seek help. Suicidal people have changed their minds and reached out after seeing the show.We want young people in high school and college who can't afford to the $30 to $100 to have access to the show and its message, which is ""You're not alone. If you're struggling, Tell Someone.""The Marsh is a registered 501(C)(3) nonprofit and all donations are 100% tax deductible.About ""The Waiting Period""This show is an unrelenting look at a ten-day period in Copelands lifethe mandatory ten-day waiting period before he could lay his hands on the newly purchased gun with which he planned to take his own life. Even in the midst of this tragedy, however, his wonderful sense of the comedy of life does not desert him (how much should he spend on the gun?), indeed serves him insidiously well as a buffer against the grim reality of his intention. Copeland hopes this very personal, and ultimately redemptive, story will reach people who struggle with depressionoften called the last stigmatized diseaseas well as their families and loved ones. Interspersed with interviews with other sufferers, the play also offers outsiders an insiders view, thereby expanding our understanding and, hopefully, our humanity. As critic Sam Hurwitt put it in The Idiolect: Its a play Id strongly recommend to anyone who is now or has ever been depressed or who knows someone in that situation. But honestly, its such a strong piece that Id recommend it just as heartily to anyone whos ever been human.About Brian CopelandBrian Copeland has been in show business since he first stepped on the comedy stage at the tender age of 18. Soon he was headlining clubs and concerts across the country and opening for such artists as Smokey Robinson, The Temptations, Ringo Starr, and the Queen of soul Aretha Franklin, in venues from The Universal Amphitheater to Constitution Hall in Washington DC. Soon, Copeland branched off into television, appearing on comedy programs on NBC, A&E and MTV. He spent five years as co-host of San Francisco FOX affiliate KTVU breakfast program ""Mornings on 2"" and two years hosting San Francisco ABC affiliate KGOs Emmy Award winning afternoon talker ""7Live.""In 1995, ABC affiliate KGO Radio premiered The Brian Copeland Show. Its unique mix of talk and entertainment soon made it the most listened to program in its time slot. Copeland branched out into theater in 2004 with his first solo play, ""Not A Genuine Black Man."" This critically acclaimed exploration of race and identity created an audience pleasing blend of laughter, tears and sociology that led to the show becoming the longest running solo play in San Francisco theatrical history. Successful runs in Los Angeles and Off Broadway and a bestselling book adaptation followed. ""Genuine"" has been performed in over 30 cities across America.PressTaking aim at depression with Waiting Period crowdfunding - SFGate.comAlameda: Copeland's acclaimed 'Waiting Period' comes to Altarena - InsideBayArea.com Combating Depression with a Year of Free Theater - KQED ArtsAfter Robin Williamss Suicide, Brian Copeland Revives His Show About Depression - Newsweek Magazine Robert Hurwitt's San Francisco Chronicle review of ""The Waiting Period"" Sam Hurwitt's The Idiolect review of ""The Waiting Period"" Chad Jones' TheaterDogs review of ""The Waiting Period""
+ Read More
Read Latest Update
"
Love WINs!- Help us Rebuild,"$15,528","$50,000",Charity," January 15, 2016",462,8,CHARLESTOWN,IN,2400,10,1,"
                            Tim Stark
                            
                                                            on behalf of Melisa Stark
CHARLESTOWN, IN                                
                                                Wildlife in Need is a 501c3 non-profit located in Charlestown IN dedicated to the rescue, rehabilitation and release of indigenous wildlife and a safe harbor to an array of exotic and endangered species. We pride ourselves on the education of our patrons and community about the species for which we provide refuge. As a non-profit organization, we are funded solely by the public.Wildlife in Need endured a devastating loss of life, resources and property after fire broke out at our main barn on January 12, 2016. Our cherished bird and reptile center was part of this loss. Our food supplies including frozen, refrigerated and dry goods perished along with storage areas, including our walk-in freezer. Also lost was our property workshop, that housed all tools, maintenance items and construction supplies that are being used for habitat reconstruction.Your donation will be immediately be used to replace items for food storage, such as a walk-in freezer. We will also purchase the multitude of tools and building supplies needed to begin the process of rebuilding from the ashes.We are truly humbled and overwhelmed by the offers to donate and help. Your donation will immediately impact the rebuilding of our Ambassadors' environments and secure us in our ability to continue focusing on their care, well-being and happiness. Thank you from the bottom of our hearts to the tips of our tails.                        
                    
+ Read More
Read Latest Update
"
Help Us Prevent Overdose Deaths,$734,"$25,000",Charity," September 22, 2016",18,3,BRONX,NY,523000,,,"
                                    JR
                                
                            Joyce Rivera
                            
                            
                                                           
BRONX, NY                                
                        St. Ann's Corner of Harm Reduction (SACHR)is a 503C non-profit organization which meansall donations are tax deductible.  SACHR is a Harm Reduction/Syringe Exchange that has beenworking withdrug users where they are at. We have been providing life-saving services/options for more than two decades serving those at risk, infected/affected with HIV, Hepatitis C and other injection related harm. Your donations will go directly to expanding our overdose prevention and education outreach efforts. The money will be used to train and certify people in our community in the use of Naloxone, a live-saving drug that when administered will reverse an opiate overdose. Overdose is an epidemic that has continued to rise for the last 5 years. Over 50% of all overdoses are from prescription drugs. While we all are affected by this the Bronx has the highest rate of overdose in NYC. The highest incidence of overdose is in the Hunts Point/Mott Haven sections of the Bronx near where our office is located and where our expanded efforts will be focused. Every little bit will help. Thank you for your consideration and if you can't donate at this time please share this post so that others may. Visit us atsachr.org
+ Read More
"
UWC USA for Cancer ,"$1,208","$1,500",Charity," September 13, 2016",33,11,MONTEZUMA,NM,235000,,,"
                            Nora Vn
                            
                            
                                                           
MONTEZUMA, NM                                
                        Hi everyone, we need your help! We are Luis DIntrono from Venezuela and Nora Venin from Mauritius and we are students at United World College USA. We are putting in place a project called UWC USA for Cancer, which aim is to raise awareness and support cancer. It is a whole school event, anyone can participate in their own way. In what ways can you help?1/ If you are a UWC alumni, a family member, a friend, or you are simply interested in helping:- Sponsor people who shave their head by donating money on GoFundMe- If you wish, you can sponsor a specific number of people who are shaving their heads (e.g: 5,10,20...) and if you want to do so contact us at the following email address:uwcusacancer@gmail.com2/If you are a student, a faculty member, or staff member at UWC USA:- Donate your hair (needs to be at least 10 inches long)- Shave your head to raise donations- Sponsor people who shave their head- Pay to shave someone elses head yourself You can ask your parents, your friends, your family, alumni, your getaway family: basically ANYONE to donate. Even a small donation helps. The project will take place on the 21st of September 2016 at our school in Montezuma, New Mexico. All our donations are going to an organization called Locks of Love. It is a public non-profit organization that provides hairpieces to financially disadvantaged children under age 21 suffering from long-term medical hair loss from any diagnosis.Please help, even a small donation can make a big change!
                    
+ Read More
"
Send Veterans to USMNT vs Mexico,"$38,154","$38,000",Charity," July 29, 2015",660,14,RIALTO,CA,12000,9,38,"
                            James Bathgate
                            
                                                            on behalf of Edward Rausch
RIALTO, CA                                
Facebook: http://www.fb.com/Tix4Troops Twitter: http://www.twitter.com/Tix4TroopsUSA Email:Tix4Troops@gmail.com On October 10th the United States Mens National Team will take on Mexico in Pasadena, California for the right to play in the 2017 Confederations Cup in Russia. While you may believe that this will be a home game for the United States the truth is that couldn't be any further from the truth. Previous games between the United States and Mexico played in Southern California have been hostile environments for our American team, with Mexico fans coming out to dominate the stadium. In 2011 in a Gold Cup final that took place at the Rose Bowl Mexican fans easily outnumbered American fans 20 to 1.At the same time many of us are strong supporters of our troops in our active military and veterans. We want to thank them for their service in anyway we can. So how do we kill two birds with one stone? We bring our active military and veterans to the game. By partnering with the Veteran Tickets Foundation we'll be able to purchase tickets to the game for active military members, veterans and families of our military who were killed in action.While this campaign may be getting a lot of support from the American Outlaws this is campaign is about the American People showing their love for our military members. Donations are welcome from any individual or group who would like to participate.
Why should I donate?Well if supporting your military soldiers and veterans isn't enough, the folks atWorldSoccerShophave agreed to give a free American Outlaws shirt to anyone who donates $100 or more.
How can you help?First of all, if you can get yourself to the game to support our country do so. If you can't or want to do more donate to this fundraiser to buy tickets for United States Military Veterans to the game. All proceeds from this fundraiser will be donated to the Veteran Tickets Foundation(a 501(c)(3) non-profit organization) to purchase and distribute tickets to veterans.Who are the Veteran Tickets Foundation?Veteran Tickets Foundation (Vet Tix) provides FREE event tickets to family members of troops Killed In Action (K.I.A.), our Military and Veterans to sporting events, concerts, performing arts and family activities.Attending these events reduces stress through entertainment, strengthens family bonds, builds life long memories and encourages service members to stay engaged with American life and local communities.Why a $38,044 goal?Originally, we had a goal of $5,000 goal based on the estimate that tickets will run around $50 each after taxes and TicketMaster charges and $5,000 would bring 100 extra people to the game to support our team in their match against Mexico.Then we had a goal of $15,000 based on buying 10 rows of 25 seats at $60 per seat.Now, we've been told the tickets are probably going to be even higher than $60. So we're going to use a $70 ticket price and shoot for 500 tickets. In order to buy 500 tickets after fees and GoFundMe charges at $70 each we'll need a grand total of $38,044. So that's our new goal.What about the military members who support Mexico?While one of the goals of this fundraiser is to bring US supporters to the game, the real goal is to show thanks to the members of our military. It's going to be that some of them are going to support Mexico and if that's their choice we're still going to welcome them with open arms.Who are we?We're a group of American Outlaw memberswho want to make the game against Mexico in Pasadena just feel a bit more like a home game for our team.Spread The WordLet's make sure everyone knows about this campaign. You can help by tweeting at people involved in US Soccer and asking them to share this fundraiser. We're going to keep an updated list of five people we want to target on Twitter to get them to share. Let's tweet at them until they share. The current five targets:1.Clint Dempsey2.Alexi Lalas(DONE)3.Stuart Holden(DONE)4.Jrgen Klinsmann(DONE)5.Landon DonovanAO Phoenix $3025AO Pittsburgh $950AO Hartford $915AO Inland Empire $595AO Orange County $375AO Houston $325AO Las Vegas $290AO Omaha $250AO New Haven $250AO DC $248AO Buffalo $230AO Seattle $230AO Dallas $225AO Baltimore $220AO Salt Lake City $200AO Chicago $198AO Tucson $196AO Philly $190AO Sacramento $175AO San Jose $170AO Boston $170AO Western Mass$150AO Lincoln $150AO Long Island $150AO South Bay $145AO San Francisco $125AO Tuscaloosa $125AO San Gabriel Valley $120AO Atlanta $120AO New York City $120AO San Diego $110AO Santa Monica $110AO Denver $105AO Portland $100AO Ocean Springs $100AO North Jersey $100AO Long Beach $100AO Milwaukee $100AO Charleston $100AO Lancaster $100AO Tri-Cities $75AO Tampa $71AO Athens $70AO Syracuse $55AO Boca Raton $50AO Santa Maria $50AO Albany $50AO Jackson $50AO Oakland $50AO Louisville $50AO Little Rock $50AO Miami $50AO Memphis $50AO North Vermont $50AO Sarasota $40AO Madison $40AO Sioux Falls$40AO Fort Worth $40AO Erie $30AO Kansas City $30AO Saratoga $25AO Indy $25AO Bloomington-Normal $25AO Akron $25AO Witchita $20AO Minneapolis/St. Paul $25AO Bronx $20AO Boise $20AO Staten Island $20AO Bakersfield $20AO Binghamton $20AO Iowa City $20AO Greenville $15AO Central New Jersey $10AO Fayetteville $10Sammers SC  Metropolitan Brigade $10AO Queen City $10AO Corpus Christi $10
+ Read More
Read Latest Update
"
So Enbridge Sued Us,"$9,653","$125,000",Charity," July 14, 2015",166,14,WAUSAU,WI,1400,7,9,"
                            Krista Erway Botsford
                                                            for PLAINS JUSTICE
on behalf of Emily Stark
WAUSAU, WI                                
""NORTH DAKOTA LANDOWNER WINS EASEMENT BATTLE AGAINST OIL COMPANY""
-Huffington Post, 9/13/16THANK YOU FOR YOUR SUPPORT. WE COULDNT HAVE DONE IT WITHOUT YOU.We feel vindicated and hopeful. We hope this significant victory is a small step on the big road to environmental sanity and responsibility. We hope to help reverse the slide into climate degradation.We also hope this significant victory helps to rein in the abuse of the power of Eminent Domain. That governmental power should not be delegated to corporations or be used for economic gain. We hope our case encourages others to stand up for their principles.We want to thank our excellent legal team and all those who supported us. Those of you who contributed financially please know that you contributions will go to cover the portion of legal costs that we cannot collect from Enbridge. This has been a long hardball journey of three and a half years. It feels great today. Thank you all again.Sincerely,James and Krista Botsford----------------------------------- 1/23/16: THE FIGHT CONTINUES. JUST PUBLISHED IN THE HUFFINGTON POST:""North Dakota Landowner Continues Fight Against Big Oil""From the article: ""Still, Botsford is standing firm on his small parcel; planting his banner on ancestral farmland and fighting the seemingly invincible forces of big oil. This story continues to steal a page from the saga of Jeanne d'Arc, La Pucelle d'Orlans, a teenage girl who fought the seemingly unbeatable English army at Orleans in the fifteenth century, and won.""Read the full article here . Thank you all for your support!______________________________FAMILY FIGHTS BACK AGAINST OIL PIPELINE WITH ISSUES OF EMINENT DOMAIN AND CLIMATE CHANGEHi,My wife and I have been sued by the Enbridge Pipeline company. We have farmland in North Dakota that has been in my family for decades. Enbridge Pipeline (the largest oil pipeline company in the world, based in Canada) wants to build a 24 pipeline to carry oil from the fracking oil bonanza of the Baaken oilfields of western North Dakota to the port city of Superior, Wisconsin where it can then be shipped and sold around the world.Of the 800 property owners in North Dakota along the proposed route of the Sandpiper Pipeline, Im sorry to say we are the only ones saying NO to their offer of money and requesting a jury trial. I have written a seven page essay that describes who we are and why we are taking a stand. It is available HERE.Enbridge sued us. We are the defendants. Our opposition is based on our sense of ethical responsibility in fighting against climate change factors, and our belief that their taking of our land is an abusive overreach of the power of Eminent Domain. I have written two topical poems on those issues that are available HERE.As the only landowners in North Dakota taking a principled stand against this foreign corporation we are in an expensive uphill battle. Enbridge is a formidable opponent. Recently they persuaded the trial judge to rule in their favor in a Summary Judgment Order, which says the only thing we can argue about in court is how much Enbridge should have to pay us. We now have to find a way to appeal that decision to the North Dakota Supreme Court (there is no intermediate court of appeals in ND) and ask them to remand the case back to the trial court for a hearing on the merits so we at least are given the opportunity to argue our case! After all, we are the defendants.All of this is very expensive. We are willing and able to stand up for these issues, and are finding lots of support. People from all over have offered encouragement and some have asked if there is a way to contribute to our legal defense fund. Well now there is and THIS IS IT! Your donations go to a charity and are, therefore, tax deductible.We have a good, strong principled legal team. The funds we raise through GoFundMe will go toward our legal defense, including bringing in experts (some of whom have graciously agreed to help for free or for just their out-of-pocket expenses) as well as helping pay the legal team and associated court costs. The cost of this whole effort, including appeals, is expected to be around $125,000. Contributions will be routed through GoFundMe to Plains Justice, a 501 (c)(3) nonprofit that has kindly agreed to serve as the fiscal agent. Emily Stark is their Executive Director.None of the contributions will benefit the Botsfords. Any unspent contributions will be divided between Plains Justice (which does related climate change advocacy work) and Honor the Earth (which is also fighting against the Sandpiper pipeline). Please check out the websites of those two fine nonprofit advocacy groups.There have been several news articles written about our case and a google search of ""botsford enbridge"" will show them. Here are links to a sample.Grand Forks Herald Minneapolis Star Tribune FusionPart of our unwillingness to acquiesce to Enbridge's insistent demands is based on their horrendous record of spills and leaks, over 800 in the past decade, as described in a study by the National Wildlife Federation which you can find HERE .Thanks to everyone who has offered encouragement and to those of you who choose to contribute to this important and principled cause.James Botsford
+ Read More
Read Latest Update
"
Save SEALAB I -USA's 1st U/W House,"$5,575","$33,000",Charity," April 24, 2015",45,17,PANAMA CITY BEACH,FL,355000,5,17,"
                            Craig Cooper
                            
                            
                                                           
PANAMA CITY BEACH, FL                                
                        SEALAB I was developed, built, and tested at the Mine Defense Lab, located at the Navy base in Panama City, Fl. The Navy's Man in the Sea Program and its first of three underwater habitats, SEALAB I, was America's first opportunity to field test the results of the Genesis chamber experiments for saturation diving led by Dr. George F. Bond. Using SEALAB I as an underwater base, divers would live, work, eat, and breathe at the bottom of the sea, and the experiment provided unprecedented opportunities for scientific research and development. SEALAB I's experiment took place fifty years ago in 1964 off the coast of Bermuda, where it was deployed at 193 feet, housing four U.S. Navy divers for 11 days. These first American ""aquanauts"" were originally scheduled to stay at depth for 21 days, but the dive was cut short due to the approach of a tropical storm. Those ""sea dwellers"" living almost 200 feet from the surface wouldn't be affected greatly by the storm, but it could wreak havoc on the support vessel above and its umbilical to SEALAB I. Despite its shortened duration, the SEALAB I experiment proved that saturation diving in the open ocean was viable for extended periods, and also provided vital information on habitat deployment, life support control and monitoring. as well as descrambling the Donal Duck speech of Helium breathing divers.CAPT.Bond and several other men from the SEALAB program founded the Institute of Diving and went on to create the Man in the Sea Museum in 1982. The not-for-profit museum is the home of SEALAB I, and the site of its ongoing restoration into a walk-in exhibit of the underwater housethat those four brave pioneers of saturation diving called home for 11 days.For some 30 years SEALAB I has sat with little attention, now on the heels of its 50th anniversary, a group of volunteers has undertaken the task of restoring this historical vessel and re-commissioning it in the configuration as it served as America's first underwater house.
                    
+ Read More
Read Latest Update
"
